MinEltMax,AcceptsTermTotal,IsectMax,InitialCreationTotal,ComputationTime,AcceptsTermMax,MinifyMax,MinifyTotal,Test,InitialCreationMax,IsectTotal,MinEltTotal
0,0,0,0,0.03,0,0,0,bool-always-false,0,0,0
0,0,0,0,0.02,0,0,0,bool-always-true,0,0,0
0,0,0,0,0.04,0,0,0,bool-band,0,0,0
0,0,0,0,0.04,0,0,0,bool-bor,0,0,0
0,0,0,0,0.03,0,0,0,bool-impl,0,0,0
0,0,0,0,0.02,0,0,0,bool-neg,0,0,0
0,0,0,0,0.04,0,0,0,bool-xor,0,0,0
0,0,0.01,0.08,0.18,0,0,0.01,list-append,0.03,0.01,0.01
0.03,0,0.15,0.23,0.85,0,0.04,0.09,list-compress,0.05,0.29,0.07
0,0,0,0.04,0.13,0,0,0,list-concat,0.01,0.01,0
0,0,0.01,0.04,0.13,0,0,0.01,list-drop,0,0.01,0.01
0,0,0,0.02,0.08,0,0,0,list-even-parity,0,0,0
0.01,0,0.01,0.02,0.13,0,0,0.01,list-filter,0,0.02,0.01
0.10,0,0.53,0.06,1.13,0,0.30,0.32,list-fold,0.01,0.57,0.10
0,0,0,0.01,0.04,0,0,0,list-hd,0,0,0
0,0,0,0.32,0.39,0,0,0.01,list-inc,0.07,0,0
0,0,0,0.03,0.08,0,0,0,list-last,0.01,0,0
0,0,0,0.01,0.04,0,0,0,list-length,0,0,0
0,0,0,0.03,0.07,0,0,0,list-map,0,0,0
0,0,0.01,0.13,0.34,0,0,0.01,list-nth,0.02,0.02,0.01
0,0,0.01,0.64,0.78,0,0,0.01,list-pairwise-swap,0.09,0.01,0
0,0,0.01,0.32,0.40,0,0.01,0.01,list-rev-append,0.16,0.01,0
0,0,0,0.02,0.05,0,0,0,list-rev-fold,0.01,0,0
0,0,0.01,0.03,0.12,0,0.01,0.01,list-rev-snoc,0.01,0.01,0
0,0,0.01,0.07,0.17,0,0,0.01,list-rev-tailcall,0.01,0.01,0.01
0,0,0,1.11,1.18,0,0,0,list-snoc,0.26,0,0
0,0,0.01,0.06,0.13,0,0.01,0.01,list-sort-sorted-insert,0.01,0.02,0
0.01,0,0.05,0.18,0.35,0,0.01,0.02,list-sorted-insert,0.03,0.07,0.02
0,0,0,0.02,0.06,0,0,0,list-stutter,0.01,0,0
0,0,0.02,0.02,0.12,0,0.01,0.01,list-sum,0.01,0.02,0
0.01,0,0.03,0.11,0.32,0,0.01,0.02,list-take,0.03,0.07,0.03
0,0,0,0,0.03,0,0,0,list-tl,0,0,0
0,0,0,0,0.04,0,0,0,nat-iseven,0,0,0
0.01,0,0.05,0.04,0.21,0,0.02,0.03,nat-max,0,0.07,0.02
0,0,0,0,0.03,0,0,0,nat-pred,0,0,0
0,0,0,0.02,0.07,0,0,0,nat-sum,0,0.01,0
0.19,0,0.52,3.81,5.61,0,0.22,0.33,tree-binsert,0.92,0.98,0.29
0,0,0,0.07,0.13,0,0,0,tree-collect-leaves,0.02,0.01,0
0.01,0,0.05,0.28,0.58,0,0.03,0.04,tree-count-leaves,0.23,0.05,0.01
0,0,0.01,0.04,0.13,0,0,0.01,tree-count-nodes,0.01,0.01,0.01
0,0,0.01,0.04,0.12,0,0,0,tree-inorder,0.02,0.01,0
0.01,0,0.03,0.09,0.23,0,0.01,0.02,tree-map,0.03,0.05,0.02
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-nodes-at-level,t/o,t/o,t/o
0.18,0,0.71,0.55,2.04,0,0.28,0.30,tree-postorder,0.17,0.74,0.19
0.01,0,0.03,0.06,0.18,0,0.01,0.01,tree-preorder,0.02,0.03,0.01
